"","ds","Month","Temp","ID","mass","mass_prev","SGR","SGR_2m","SMR","SMR_mass","SMR_resid","SMR_prev","SMR_mass_prev","MMR","MMR_mass","MMR_prev","MMR_mass_prev","Ratio","Ratio_linear","log_SMR","log_MMR","log_mass"
"78","B1","June","18","B1_18",4.79,3.12,1.786239207,1.04133265240289,0.608356593,NA,-0.067710753,0.486539918,NA,2.394982696,NA,1.68768402,NA,NA,NA,-0.215841780965351,0.379302379938948,0.680335513414563
"79","B1","July","18","B1_18",5.59,4.79,0.482652737,0.322109162196028,0.621510727,NA,-0.110765524,0.608356593,NA,2.158977434,NA,2.394982696,NA,77.8755450874128,92.2786299529362,-0.206551371227157,0.334248103038031,0.747411807886423
"80","B1","August","18","B1_18",5.83,5.59,0.144957632,0.972673014149518,0.898831205,NA,0.035216739,0.621510727,NA,2.77053073,NA,2.158977434,NA,58.6206897,58.6206897,-0.0463218584557816,0.442562971603093,0.765668554759014
"81","B1","September","18","B1_18",10.02,5.83,1.746987404,NA,1.326418887,NA,0.020673928,0.898831205,NA,3.786143381,NA,2.77053073,NA,NA,NA,0.122680697209124,0.578197056642575,1.00086772153123
"82","B1","May","18","B1_19",1.55,0.83,NA,NA,0.309796157,NA,0.021597567,0.095558612,NA,0.889037191,NA,0.68994548,NA,NA,NA,-0.508923973936547,-0.0510800708540467,0.190331698170291
"83","B1","May","18","B1_20",2.86,2.31,NA,0.813814138850131,0.40333809,NA,-0.071417821,0.035679755,NA,1.510276252,NA,0.642648486,NA,NA,NA,-0.394330762629896,0.17905639348255,0.456366033129043
"84","B1","June","18","B1_20",3.47,2.86,0.805554038,0.553848086256856,0.567283619,NA,0.011189565,0.40333809,NA,1.414707656,NA,1.510276252,NA,NA,NA,-0.246199757032199,0.150666703815527,0.540329474790874
"85","B1","July","18","B1_20",3.9,3.47,0.365068622,-0.143071142896201,0.645903048,NA,0.027963835,0.567283619,NA,2.127615635,NA,1.414707656,NA,NA,NA,-0.189832666027438,0.327893173117463,0.591064607026499
"86","B1","August","18","B1_20",3.18,3.9,-0.703777091,0.536186368396821,0.486733371,NA,-0.025741212,0.645903048,NA,1.735818895,NA,2.127615635,NA,NA,NA,-0.312708877006296,0.239504411505744,0.502427119984433
"87","B1","September","18","B1_20",5.38,3.18,1.696152185,NA,0.961940408,NA,0.091911415,0.486733371,NA,3.621606083,NA,1.735818895,NA,NA,NA,-0.0168518315779812,0.558901210946859,0.730782275666389
"88","B1","May","18","B1_21",1.84,1.82,NA,0.569862078159782,0.36861787,NA,0.038970242,0.108154446,NA,1.002543739,NA,0.458127006,NA,NA,NA,-0.433423614710347,0.00110332911463148,0.264817823009536
"89","B1","June","18","B1_21",2.42,1.84,1.141674869,1.17856245221972,0.335859573,NA,-0.094312039,0.36861787,NA,1.336968753,NA,1.002543739,NA,NA,NA,-0.473842268500247,0.12612125725581,0.383815365980431
"90","B1","July","18","B1_21",3.56,2.42,1.20622814,0.330199554372744,0.636439541,NA,0.052468213,0.335859573,NA,2.575995097,NA,1.336968753,NA,72.0955727874128,65.2676078764698,-0.196242846145743,0.410945032077576,0.551449997972875
"91","B1","August","18","B1_21",2.96,3.56,-0.636452678,0.615393616352843,0.38016773,NA,-0.108759549,0.636439541,NA,1.454072736,NA,2.575995097,NA,61.6438356,61.6438356,-0.420024750378841,0.162586131456547,0.471291711058939
"92","B1","September","18","B1_21",5.15,2.96,1.786475633,NA,0.891770416,NA,0.073824106,0.38016773,NA,3.950267663,NA,1.454072736,NA,NA,NA,-0.0497469392313833,0.596626523632931,0.711807229041191
"93","B1","May","18","B1_22",2.89,2.6,NA,0.500918723922345,0.424996156,NA,-0.052238602,0.21388237,NA,1.477803239,NA,1.069731211,NA,NA,NA,-0.371614998033308,0.169616614095994,0.460897842756548
"94","B1","June","18","B1_22",3.34,2.89,0.60297627,0.284952534407175,0.564618031,NA,0.022085158,0.424996156,NA,1.534634291,NA,1.477803239,NA,NA,NA,-0.248245256832449,0.18600489816922,0.523746466811564
"95","B1","July","18","B1_22",3.39,3.34,0.046434733,-0.385560475131777,0.382815844,NA,-0.151715671,0.564618031,NA,1.808767222,NA,1.534634291,NA,72.9824001874128,67.4401448705862,-0.417010095922951,0.257382679239166,0.530199698203082
"96","B1","August","18","B1_22",2.64,3.39,-0.862244842,0.100173206782842,0.291983783,NA,-0.18460058,0.382815844,NA,1.830407507,NA,1.808767222,NA,61.9975639,61.9975639,-0.534641268925537,0.262547788276605,0.421603926869831
"97","B1","September","18","B1_22",3.6,2.64,1.000499769,NA,0.630490046,NA,0.044602484,0.291983783,NA,2.04077601,NA,1.830407507,NA,NA,NA,-0.200321765556241,0.309795340355821,0.556302500767287
"98","B1","May","18","B1_23",2.6,2.02,NA,1.07634215531304,0.505599464,NA,0.059021683,0.14196267,NA,1.5067469,NA,0.776358193,NA,NA,NA,-0.29619339513304,0.178040306617946,0.414973347970818
"99","B1","June","18","B1_23",3.46,2.6,1.190654767,0.59100460858972,0.734225315,NA,0.12419679,0.505599464,NA,1.759773724,NA,1.5067469,NA,NA,NA,-0.134170645744214,0.245456828759694,0.539076098792777
"100","B1","July","18","B1_23",3.62,3.46,0.14126699,-0.0190623573690476,0.465667093,NA,-0.088877858,0.734225315,NA,2.404619402,NA,1.759773724,NA,74.6663968874128,83.0805989705805,-0.331924450994609,0.381046346950377,0.558708570533166
"101","B1","August","18","B1_23",3.42,3.62,-0.195977499,1.03597649847756,0.533806438,NA,-0.01030783,0.465667093,NA,2.172554371,NA,2.404619402,NA,57.8947368,57.8947368,-0.27261619268599,0.33697065404121,0.534026106056135
"102","B1","September","18","B1_23",6.74,3.42,2.188449593,NA,1.272941701,NA,0.137189757,0.533806438,NA,3.112258849,NA,2.172554371,NA,NA,NA,0.104808514012039,0.493075710431187,0.82865989653532
"103","B1","May","18","B1_24",0.95,1.34,NA,0.898535461533115,0.277812303,NA,0.140188699,0.033947863,NA,0.822902012,NA,0.530616476,NA,NA,NA,-0.556248525312953,-0.0846518758220843,-0.0222763947111523
"104","B1","June","18","B1_24",2.1,0.95,3.305127663,1.95553097600119,0.330409344,NA,-0.053348941,0.277812303,NA,1.106880107,NA,0.822902012,NA,NA,NA,-0.480947679298818,0.0441005823166931,0.322219294733919
"105","B1","July","18","B1_24",2.84,2.1,0.943333461,0.399802376710472,0.446729355,NA,-0.024664199,0.330409344,NA,1.421687981,NA,1.106880107,NA,75.5221801874128,57.3716473176501,-0.349955508697532,0.152804291893818,0.453318340047038
"106","B1","August","18","B1_24",2.68,2.84,-0.199956061,0.864237087878558,0.282549813,NA,-0.203960862,0.446729355,NA,1.63229137,NA,1.421687981,NA,69.7651663,69.7651663,-0.548904975795193,0.212797684496616,0.428134794028789
"107","B1","September","18","B1_24",4.77,2.68,1.859772614,NA,0.801533907,NA,0.053470988,0.282549813,NA,2.311462489,NA,1.63229137,NA,NA,NA,-0.0960781011182866,0.363886849990196,0.678518379040114
