Resp_Day,ID_fish,chamber_ch,Temp_class,RMR,RMR_var,RMR_perc,time_start,time_end,mass,length,volume_net,SMR,MMR,log_mass,Month,resid,SMR_mass,SMR_resid,RMR_mass,RMR_resid,MMR_mass,MMR_resid,Rack,Bin,TagID,Final_Mass_g,Final_Length_mm,Gonad_mass_g,Sex,Fat_mass_g,Ventricle_mass_g,Otolith_age_y,mass_prev,SGR,Period_start,Period_end,SMR_prev,SMR_mass_prev,RMR_prev,RMR_mass_prev,MMR_prev,MMR_mass_prev,Overall_SGR,SGR_predict,SGR_resid,time,Month_int,GutRatio_1,GutRatio_2,Location,Density_tagged,Density,Density_diff
3,128,C1,18,0.4158667,NA,NA,29/04/2023 14:09,30/04/2023 9:02,1.8,72,708.2,0.255967913,0.823734878,0.255272505,April,NA,0.3714357,NA,0.553606895,NA,2.179846173,NA,3,11,BR,9.09,115,0.05,F,0.962,0.007,1.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA
4,129,A4,18,0.383868666,NA,NA,30/04/2023 13:15,1/05/2023 8:55,1.58,70,708.42,0.188625381,0.774118398,0.198657087,April,NA,0.716353593,NA,0.952318309,NA,1.702198395,NA,3,12,YL,5.71,100,0.015,I,0.414,0.003,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA
4,130,B2,18,0.254587466,NA,NA,30/04/2023 13:15,1/05/2023 8:55,1.15,68,708.85,0.10927083,0.699522984,0.06069784,April,NA,0.45811044,NA,0.671431705,NA,1.724782356,NA,3,12,YR,3.22,88,0.003,F,0.093,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA
4,131,A2,18,0.306521824,NA,NA,30/04/2023 13:15,1/05/2023 8:55,1.51,73,708.49,0.131647164,1.143526687,0.178976947,April,NA,0.567861963,NA,0.798477485,NA,1.473362263,NA,3,12,BrL,3.54,88,0.008,I,0.185,0.001,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA
4,132,A3,18,0.432415766,NA,NA,30/04/2023 13:15,1/05/2023 8:55,1.72,73,708.28,0.169135863,1.015913757,0.235528447,April,NA,0.526998641,NA,0.856875297,NA,2.327893806,NA,3,12,BrR,4.32,93,0.046,F,0.086,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA
4,134,B3,18,0.219457901,NA,NA,30/04/2023 13:15,1/05/2023 8:55,1.28,67,708.72,0.080365195,1.01561844,0.10720997,April,NA,0.581414616,NA,0.756409184,NA,1.679698716,NA,3,12,RR,2.6,80,0.01,F,0.08,0.001,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA
4,135,B1,18,0.300980219,NA,NA,30/04/2023 13:15,1/05/2023 8:55,1.69,70,708.31,0.057909404,1.4521506,0.227886705,April,NA,0.542250572,NA,0.750545191,NA,2.146128979,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA
4,136,A1,18,0.573261793,NA,NA,30/04/2023 13:15,1/05/2023 8:55,2.03,78,707.97,0.243550954,1.196956565,0.307496038,April,NA,0.4646103,NA,0.62706891,NA,1.920111673,NA,3,12,BR,2.46,82,0.002,I,0.07,0.002,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA
5,145,B3,18,0.349354328,NA,NA,1/05/2023 18:48,2/05/2023 9:48,1.29,69,708.71,0.105079295,0.864975517,0.11058971,April,NA,0.502243891,NA,0.972785344,NA,1.666077,NA,3,14,YL,1.77,74,0.0039,I,0.043,0.0015,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA
5,146,A2,18,0.212784469,NA,NA,1/05/2023 18:48,2/05/2023 9:48,1.13,67,708.87,0.048675641,0.917530448,0.053078443,April,NA,0.365074267,NA,0.623851957,NA,1.959721763,NA,3,14,YR,3.04,80,0.0255,M,0.1024,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA
